"PartitionKey","RowKey","Timestamp","DeviceId","SensorId","Type","Unit","Value","ReceivedAtUtc"
"hivewatch-esp32-board2","202607112031275638177-0cb6cae2146248b7b7113f0cd7820328","2026-07-11T20:31:27.698287+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.37","2026-07-11T20:31:27.563817+00:00"
"hivewatch-esp32-board2","202607112036283016583-5529857b89934dd0a8876afd4286974a","2026-07-11T20:36:28.404761+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.31","2026-07-11T20:36:28.301658+00:00"
"hivewatch-esp32-board2","202607112041290599660-fe8920fb86c64a2b88dc35ce2b55326a","2026-07-11T20:41:29.157628+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.31","2026-07-11T20:41:29.059966+00:00"
"hivewatch-esp32-board2","202607112046299365170-3f0cf2e10b624db082c73801d2247aa3","2026-07-11T20:46:30.058618+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.19","2026-07-11T20:46:29.936517+00:00"
"hivewatch-esp32-board2","202607112051308970549-5ed4409399f14f7fbae00aa8b4e563e6","2026-07-11T20:51:31.013470+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.06","2026-07-11T20:51:30.897054+00:00"
"hivewatch-esp32-board2","202607112056317342031-286a5fe1ce0a4c2bab0ed81e6c49eb73","2026-07-11T20:56:31.836189+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.0","2026-07-11T20:56:31.734203+00:00"
"hivewatch-esp32-board2","202607112101326218927-8b67b0fdd9fd4cfda532c4ba6ca8c747","2026-07-11T21:01:32.740955+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.94","2026-07-11T21:01:32.621892+00:00"
"hivewatch-esp32-board2","202607112106333418545-63812244234744198e86dccc0638f3c3","2026-07-11T21:06:33.443841+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.87","2026-07-11T21:06:33.341854+00:00"
"hivewatch-esp32-board2","202607112111340888811-40541f857fdd48b2b4d41277cb7f4ed6","2026-07-11T21:11:34.192994+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.81","2026-07-11T21:11:34.088881+00:00"
"hivewatch-esp32-board2","202607112116351871124-9787fb5d4b3149f5ab6258985f215afa","2026-07-11T21:16:35.314343+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.81","2026-07-11T21:16:35.187112+00:00"
"hivewatch-esp32-board2","202607112121350399357-9d6c91e35d2345feae84ff5c97890022","2026-07-11T21:21:35.136000+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.81","2026-07-11T21:21:35.039935+00:00"
"hivewatch-esp32-board2","202607112126358872051-2634dabe7fef4af5b719dd3af6be68b9","2026-07-11T21:26:35.987516+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.87","2026-07-11T21:26:35.887205+00:00"
"hivewatch-esp32-board2","202607112131367281186-b4c8b9e8947e42459ccfc37b4aefeb15","2026-07-11T21:31:36.831054+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.87","2026-07-11T21:31:36.728118+00:00"
"hivewatch-esp32-board2","202607112136374993359-241fd7cc3bd647a4b1a894ac90c42d3a","2026-07-11T21:36:37.595166+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.87","2026-07-11T21:36:37.499335+00:00"
"hivewatch-esp32-board2","202607112141381854489-f7a49352d8b7435ea3708b7868132924","2026-07-11T21:41:38.288264+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.81","2026-07-11T21:41:38.185448+00:00"
"hivewatch-esp32-board2","202607112146391675161-37a6dfe41bd547b19c8aa39978499461","2026-07-11T21:46:39.276885+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.81","2026-07-11T21:46:39.167516+00:00"
"hivewatch-esp32-board2","202607112151399075740-ca20286a5eea4e58a20c7d61f5478436","2026-07-11T21:51:40.026053+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.75","2026-07-11T21:51:39.907574+00:00"
"hivewatch-esp32-board2","202607112156408928776-123cdfc5824f4b2ca65e69e939296aed","2026-07-11T21:56:40.994467+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.69","2026-07-11T21:56:40.892877+00:00"
"hivewatch-esp32-board2","202607112201415814402-4b9cf2fca09247f4855f74b04e95326d","2026-07-11T22:01:41.688853+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.69","2026-07-11T22:01:41.581440+00:00"
"hivewatch-esp32-board2","202607112206425099941-83b3cec35d6b400390c2de36b83f847b","2026-07-11T22:06:42.621549+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.63","2026-07-11T22:06:42.509994+00:00"
"hivewatch-esp32-board2","202607112211434754315-4cf4ea51b2654f81902bf804d6968cc1","2026-07-11T22:11:43.587084+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.56","2026-07-11T22:11:43.475431+00:00"
"hivewatch-esp32-board2","202607112216444527590-280d8522e3cb42fe9742e2c5df3b03f9","2026-07-11T22:16:44.562471+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.56","2026-07-11T22:16:44.452759+00:00"
"hivewatch-esp32-board2","202607112221454024539-955809b7dce04e809f0825f60572c383","2026-07-11T22:21:45.507213+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.69","2026-07-11T22:21:45.402453+00:00"
"hivewatch-esp32-board2","202607112226462731954-9164a33626c24a7680085be7a3792878","2026-07-11T22:26:46.374044+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.69","2026-07-11T22:26:46.273195+00:00"
"hivewatch-esp32-board2","202607112231475132033-64d33c753aea4d42868c10596a70183e","2026-07-11T22:31:47.626171+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.69","2026-07-11T22:31:47.513203+00:00"
"hivewatch-esp32-board2","202607112236474280265-3fc19b740c664add9121ea3244666f58","2026-07-11T22:36:47.532889+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.69","2026-07-11T22:36:47.428026+00:00"
"hivewatch-esp32-board2","202607112241486157305-3cd42466a6aa46fabec5b2c04f7415f5","2026-07-11T22:41:48.737925+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.75","2026-07-11T22:41:48.615730+00:00"
"hivewatch-esp32-board2","202607112246488415752-cacfe737ec8448048bc8b4ce2303fcda","2026-07-11T22:46:48.975303+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.75","2026-07-11T22:46:48.841575+00:00"
"hivewatch-esp32-board2","202607112251486988001-f6d4a1df91764edca4e77a4bf7b91f02","2026-07-11T22:51:48.778520+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.69","2026-07-11T22:51:48.698800+00:00"
"hivewatch-esp32-board2","202607112256497075356-c3901564d8c247389dab0fbd539223a2","2026-07-11T22:56:49.812198+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.75","2026-07-11T22:56:49.707535+00:00"
"hivewatch-esp32-board2","202607112301495662740-77acf6e534e145079b13ae39a326b30c","2026-07-11T23:01:49.664645+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.69","2026-07-11T23:01:49.566274+00:00"
"hivewatch-esp32-board2","202607112306510544043-254862ecda9042e3853b68ca70bd17f2","2026-07-11T23:06:51.172406+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","24.69","2026-07-11T23:06:51.054404+00:00"
